thoi_gian,partner_transid,ma_gd_doisoat,amount,service_code,final_status
2022-10-23 11:11:29.62,90011_211129182738.987657,1660807015352,10000,VT-HOME-PR,99
2022-08-19 03:30:09.833,90011_220819103009.711460,90011_220819103009.711460,50000,VT-HOME,200
2022-08-19 03:28:39.423,90011_220819102839.298458,1660879719987,462000,VT-HOME-PR,200
2022-08-18 11:30:33.31,90011_220818183033.262371,1660822234429,1590000,VT-HOME-PR,200
2022-08-18 08:50:27.043,90011_220818155026.992337,1660812628564,462000,VT-HOME-PR,200
2022-08-18 07:27:16.853,90011_220818142716.784319,1660807638125,3180000,VT-HOME-PR,200
2022-08-18 07:20:04.803,90011_2111291232323.123245,1660807206827,10000,VT-HOME-PR,200
2022-08-18 07:18:01.61,90011_211129182738.9876567,1660807083696,10000,VT-HOME-PR,99
2022-08-18 07:16:16.447,90011_211129182738.987658,1660806978278,10000,VT-HOME-PR,99
2022-08-18 07:14:42.613,90011_211129182738.987659,1660806884083,10000,VT-HOME-PR,99
2022-08-18 06:46:41.67,90011_220818134641.623312,1660805203736,3180000,VT-HOME-PR,99
2022-08-18 04:59:04.887,90011_220818115904.840288,90011_220818115904.840288,1320000,VT-HOME-PR,200
2022-08-18 04:53:12.47,90011_220818115312.400284,90011_220818115312.400284,2640000,VT-HOME-PR,200
2022-08-18 02:57:04.94,90011_220818095704.753265,90011_220818095704.753265,30000,VT-POST-PD,200
2022-08-17 09:34:55.583,90011_220817163455.511237,1660728897109,1470000,VT-HOME-PR,200
2022-08-17 09:17:20.227,90011_220817161720.192233,90011_220817161720.192233,1470000,VT-HOME-PR,99
2022-08-17 09:08:27.027,90011_220817160826.933228,90011_220817160826.933228,50000,VT-HOME,200
2022-07-12 17:20:26.7,90011_211129182738.1235989,90011_211129182738.1235989,10000,VT-POST-PD,200
2022-07-12 17:16:04.54,90011_211129182738.123569,90011_211129182738.123569,10000,VT-POST-PD,200
2021-12-06 14:44:47.377,90011_211129182738.12356,90011_211129182738.12356,100000,VT-HOME-PR,200
2021-12-06 14:42:49.803,90011_211129182738.12355,90011_211129182738.12355,100000,VT-HOME-PR,99
2021-12-06 14:42:07.32,90011_211129182738.12353,90011_211129182738.12353,100000,VT-HOME-PR,99
2021-12-06 14:40:24.78,90011_211129182738.12350,90011_211129182738.12350,100000,VT-HOME-PR,99
2021-12-06 14:38:44.617,90011_211129182738.12348,90011_211129182738.12348,100000,VT-HOME-PR,99
2021-12-06 14:37:39.11,90011_211129182738.12347,90011_211129182738.12347,100000,VT-HOME-PR,99
2021-12-06 14:29:02.1,90011_211129182738.12346,90011_211129182738.12346,100000,VT-HOME-PR,99
2021-11-08 16:31:11.963,90011_211012093846.12351,90011_211012093846.12351,10000,VT-HOME,99
